original_row_id,merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,has_settlement_account,merchant_status,declared_avg_ticket_size,ticket_size_was_negative,is_suspended_or_blocked,missing_mcc_or_category,category_median_ticket_size,id_collision_flag
2058,MCH1001,Anand-Kothari,,Grocery,Partnership,Pune,Maharashtra,2026-02-17 06:54:00,7962506762,True,Active,332.55,False,False,True,1233.545,False
940,MCH1002,"Apte, Saha and Edwin",5812.0,Restaurant,Private Limited,Bengaluru,Karnataka,2026-07-01 09:01:00,XXXX8596,True,Active,1671.2,False,False,False,1327.31,False
2228,MCH1003,"Nayar, Batta and Barad",5699.0,Apparel,Private Limited,Chennai,Tamil Nadu,,,False,Active,792.91,False,False,False,1252.4299999999998,False
401,MCH1004,Pillai-Mohan,4131.0,Travel,Sole Proprietor,Lucknow,Uttar Pradesh,2023-04-08 00:00:00,3448414449,True,Active,342.7,False,False,False,1012.28,False
1040,MCH1005,SAGAR AND SONS,5912.0,Pharmacy,Partnership,Ludhiana,Punjab,2024-02-06 00:00:00,IPTY9767700049775,True,Active,967.53,False,False,False,1300.55,False
3150,MCH1007_1,Jain-Wadhwa,7011.0,Hotel,Private Limited,Chennai,Tamil Nadu,2025-06-30 00:00:00,,False,Inactive,,True,False,False,1161.77,True
970,MCH1007_2,"Sunder, Wason and Pau",5812.0,Restaurant,Partnership,Jaipur,Rajasthan,2023-11-19 00:00:00,,False,Active,164.45,False,False,False,1327.31,True
5431,MCH1009,Bha11a-Dave,,Transportation,Individual,Mumbai,Maharashtra,2024-01-08 00:00:00,BAVP5007663773178,True,Active,1496.0,False,False,True,1225.12,False
3754,MCH1010,Menon-Andra,,Grocery,Private Limited,Delhi,Delhi,2024-11-17 00:00:00,XXXX4837,True,Active,678.36,False,False,True,1233.545,False
1677,MCH1011,Wable and Sons,5411.0,Grocery,Private Limited,Ludhiana,Punjab,2023-11-02 00:00:00,,False,Active,6536.07,False,False,False,1233.545,False
4712,MCH1014_1,"Agate, Saxena and Pandit",5311.0,Department Store,Partnership,Jalandhar,Punjab,2023-12-21 00:00:00,3851769270,True,Active,1096.96,False,False,False,1356.755,True
448,MCH1014_2,"Raghavan, Barad and Bahl",5812.0,Restaurant,Partnership,Pune,Maharashtra,2024-03-23 00:00:00,PDTL9868386773357,True,Active,,False,False,False,1327.31,True
1180,MCH1015,Mannan-Subramaniam,7011.0,Hotel,Individual,Hyderabad,Telangana,2024-05-19 00:00:00,,False,Active,,True,False,False,1161.77,False
5659,MCH1016_1,"CHAR, BHARGAVA AND CHAUDHARY",5812.0,Restaurant,Private Limited,Hyderabad,Telangana,,TODJ2902550918108,True,Active,1933.0,False,False,False,1327.31,True
4912,MCH1016_2,"Mangat, Som and Deshmukh",5942.0,Books & Stationery,Individual,Pune,Maharashtra,2025-02-08 00:00:00,OOIR2591293670615,True,Suspended,756.28,False,True,False,1167.225,True
1031,MCH1016_3,"Reddy, Amble and Parmar",4814.0,Telecom,Partnership,Chennai,Tamil Nadu,2023-03-10 00:00:00,,False,Active,517.37,False,False,False,1213.17,True
4708,MCH1018,Kannan-Khatri,5311.0,Department Store,Individual,Jalandhar,Punjab,2023-03-19 00:00:00,,False,Active,1791.0,False,False,False,1356.755,False
3007,MCH1019,Iyer-Thaker,5699.0,Apparel,Partnership,Kolkata,West Bengal,2025-05-23 00:00:00,XXXX9462,True,Active,,False,False,False,1252.4299999999998,False
706,MCH1020,Garg-Kale,4131.0,Transportation,Sole Proprietor,Amritsar,Punjab,2023-05-09 00:00:00,,False,Active,1015.68,False,False,False,1225.12,False
4454,MCH1021_1,Naik-Karpe,5411.0,Grocery,Sole Proprietor,Mumbai,Maharashtra,2025-11-16 17:48:36,BPUY6277335937444,True,Active,2341.57,False,False,False,1233.545,True
4289,MCH1021_2,VARGHESE-RAMACHANDRAN,5812.0,Restaurant,Private Limited,Amritsar,Punjab,,,False,Active,734.0,False,False,False,1327.31,True
5539,MCH1022,Ramesh-Bhat,,Misc Retail,Private Limited,Hyderabad,Telangana,,,False,Active,3026.17,False,False,True,1276.92,False
4567,MCH1032_1,Manda-Hayer,7011.0,Hotel,Partnership,Amritsar,Punjab,2025-04-20 00:00:00,XXXX4099,True,Active,674.56,False,False,False,1161.77,True
3093,MCH1032_2,Nori-Nigam,7011.0,Hotel,Sole Proprietor,Pune,Maharashtra,2025-09-21 00:00:00,DXHQ1859405929058,True,Active,652.29,False,False,False,1161.77,True
3620,MCH1033_1,Sidhu and Sons,4814.0,Mobile Recharge,Individual,Jalandhar,Punjab,2023-09-11 00:00:00,WXKC0706100279623,True,Active,1871.48,False,False,False,1108.585,True
6070,MCH1033_2,Virk PLC,7011.0,Hotel,Individual,Amritsar,Punjab,2023-07-08 00:00:00,XXXX6158,True,Closed,,True,False,False,1161.77,True
1549,MCH1034,DEVI-CHAUDHARI,7011.0,Hotel,Private Limited,Delhi,Delhi,2024-06-17 22:15:00,XXXX9097,True,Active,243.38,False,False,False,1161.77,False
683,MCH1035,  Minhas-Khatri  ,5812.0,Restaurant,Sole Proprietor,Mumbai,Maharashtra,2024-01-24 00:00:00,LDCT0604920639781,True,Active,5777.68,False,False,False,1327.31,False
4600,MCH1039_1,Lal-Barad,4814.0,Telecom,Sole Proprietor,Lucknow,Uttar Pradesh,2025-07-28 00:43:00,,False,Active,3062.03,False,False,False,1213.17,True
1395,MCH1039_2,Palan-Mody,4814.0,Mobile Recharge,Individual,Hyderabad,Telangana,2023-07-14 00:00:00,,False,Active,,True,False,False,1108.585,True
4975,MCH1040_1,chand plc,5912.0,Pharmacy,Individual,Pune,Maharashtra,2024-09-08 00:00:00,,False,Active,653.92,False,False,False,1300.55,True
5312,MCH1040_2,Krishnan and S0ns,5411.0,Grocery,Sole Proprietor,Jalandhar,Punjab,2023-01-06 00:00:00,5805252531,True,Active,1030.03,False,False,False,1233.545,True
4690,MCH1041,Pat1a-S0m,,Apparel,Private Limited,Kolkata,West Bengal,2024-04-21 00:00:00,,False,Active,3701.53,False,False,True,1252.4299999999998,False
1802,MCH1044,"Jha, Salvi and Setty",5311.0,Retail,Partnership,Hyderabad,Telangana,2024-10-28 00:00:00,VZSQ7155957356020,True,Active,1084.93,False,False,False,1126.42,False
3452,MCH1047_1,"natarajan, kashyap and goel",,Hotel,Private Limited,Kolkata,West Bengal,2023-08-01 00:00:00,XXXX9448,True,Active,2594.0,False,False,True,1161.77,True
2849,MCH1047_2,Rana-Aurora,4814.0,Telecom,Partnership,Bengaluru,Karnataka,2023-08-20 01:01:00,BJXS0430805448675,True,Active,1003.46,False,False,False,1213.17,True
3243,MCH1050,Trivedi-Zachariah,5699.0,Apparel,Sole Proprietor,Jaipur,Rajasthan,2025-01-30 00:00:00,0368449602,True,Active,2479.88,False,False,False,1252.4299999999998,False
4327,MCH1053,"gera, grover and sehgal",4814.0,Mobile Recharge,Individual,Amritsar,Punjab,2025-02-22 00:00:00,,False,Active,,True,False,False,1108.585,False
4568,MCH1054,  Cheema Ltd  ,5311.0,Department Store,Private Limited,Pune,Maharashtra,2023-05-27 00:00:00,,False,Active,868.09,False,False,False,1356.755,False
774,MCH1055,Dhingra-Kapoor,5311.0,Retail,Partnership,Bengaluru,Karnataka,2024-12-30 03:08:34,6794786904,True,Active,,True,False,False,1126.42,False
2799,MCH1056,Mital-Jhaveri,5311.0,Department Store,Partnership,Amritsar,Punjab,2023-09-10 00:09:34,6820698589,True,Active,5938.05,False,False,False,1356.755,False
4415,MCH1058,"Vyas,VirkandDatta",5311.0,Department Store,Partnership,Pune,Maharashtra,2023-01-20 00:00:00,XXXX0826,True,Active,1504.39,False,False,False,1356.755,False
3306,MCH1059,Prasad Ltd,4814.0,Mobile Recharge,Partnership,Hyderabad,Telangana,2023-03-18 00:00:00,XXXX9900,True,Active,4187.75,False,False,False,1108.585,False
1195,MCH1060_1,Goda and Sons,5311.0,Department Store,Sole Proprietor,Chennai,Tamil Nadu,2023-05-18 00:00:00,2862334269,True,Closed,2371.8,False,False,False,1356.755,True
4554,MCH1060_2,Sampath-Dora,,Restaurant,Partnership,Jalandhar,Punjab,2023-07-27 03:57:00,,False,Active,2594.73,False,False,True,1327.31,True
149,MCH1060_3,"Subramaniam, Rama and Contractor",4131.0,Transportation,Individual,Hyderabad,Telangana,2024-05-02 09:00:14,FXHY9362967598468,True,Active,480.0,False,False,False,1225.12,True
3413,MCH1063,"Samra, Sur and Venkataraman",5999.0,Misc Retail,Private Limited,Chennai,Tamil Nadu,2023-06-13 00:00:00,2476053551,True,Active,1297.7,False,False,False,1276.92,False
5201,MCH1064_1,Mishra-Badami,5942.0,Books & Stationery,Sole Proprietor,Lucknow,Uttar Pradesh,2025-03-12 00:00:00,,False,Active,2393.66,False,False,False,1167.225,True
2890,MCH1064_2,Nanda Ltd,5812.0,Restaurant,Individual,Amritsar,Punjab,2025-09-09 22:49:04,,False,Active,1182.15,False,False,False,1327.31,True
2130,MCH1068,Mall-Palan,,Misc Retail,Sole Proprietor,Jaipur,Rajasthan,2026-09-02 09:23:00,PKRN8629349498422,True,Active,663.04,False,False,True,1276.92,False
2302,MCH1070,Pandya PLC,5999.0,Misc Retail,Private Limited,Chennai,Tamil Nadu,2024-09-03 00:00:00,,False,Active,1259.2,False,False,False,1276.92,False
4668,MCH1071_1,"Keer, Roy and Narayanan",,Pharmacy,Sole Proprietor,Jaipur,Rajasthan,2025-04-17 00:00:00,4373595007,True,Active,619.21,False,False,True,1300.55,True
3639,MCH1071_2,ShankarGroup,7011.0,Hotel,Individual,Mumbai,Maharashtra,2024-06-23 13:38:43,6765564160,True,Active,,True,False,False,1161.77,True
4719,MCH1071_3,  Wali and Sons  ,4814.0,Mobile Recharge,Sole Proprietor,Bengaluru,Karnataka,2025-01-21 00:00:00,,False,Active,1437.33,False,False,False,1108.585,True
3286,MCH1072,Kalla-Khalsa,5812.0,Restaurant,Private Limited,Mumbai,Maharashtra,2025-11-10 00:00:00,,False,Inactive,422.23,False,False,False,1327.31,False
947,MCH1073,"Dasgupta,RayandDara",,Pharmacy,Partnership,Lucknow,Uttar Pradesh,2024-09-22 00:00:00,XXXX7293,True,Suspended,1002.63,False,True,True,1300.55,False
236,MCH1075_1,Lala PLC,4814.0,Mobile Recharge,Individual,Pune,Maharashtra,2024-06-01 00:00:00,IPNE1576095102770,True,Suspended,1162.41,False,True,False,1108.585,True
3312,MCH1075_2,Pingle-Mohan,5912.0,Pharmacy,Sole Proprietor,Ludhiana,Punjab,2025-02-24 00:00:00,XXXX2118,True,Active,1639.19,False,False,False,1300.55,True
1571,MCH1077_1,Mitter and Sons,5812.0,Restaurant,Individual,Chennai,Tamil Nadu,2026-01-12 00:00:00,,False,Inactive,606.84,False,False,False,1327.31,True
3155,MCH1077_2,"Peri, Pai and Dani",5311.0,Department Store,Individual,Pune,Maharashtra,2025-07-24 01:37:17,OBKX2096371467257,True,Active,1189.85,False,False,False,1356.755,True
2401,MCH1077_3,Taneja-Nagar,5411.0,Grocery,Individual,Amritsar,Punjab,2026-02-27 00:00:00,QQWI6101172213624,True,Active,358.21,False,False,False,1233.545,True
2071,MCH1079,Sharaf and Sons,,Mobile Recharge,Sole Proprietor,Pune,Maharashtra,2023-10-20 00:00:00,,False,Active,455.39,False,False,True,1108.585,False
953,MCH1081,Mistry Group,5812.0,Restaurant,Private Limited,Mumbai,Maharashtra,2025-05-27 00:00:00,XXXX5682,True,Active,2299.04,False,False,False,1327.31,False
5014,MCH1082,Oommen Inc,7011.0,Hotel,Partnership,Amritsar,Punjab,,6717543820,True,Active,833.19,False,False,False,1161.77,False
4172,MCH1083,Chaudhry-Bhat,5812.0,Restaurant,Sole Proprietor,Jalandhar,Punjab,2025-04-30 00:00:00,DSMZ2555394666399,True,Inactive,730.39,False,False,False,1327.31,False
3846,MCH1084,Krishnamurthy Inc,5999.0,Misc Retail,Private Limited,Jalandhar,Punjab,2025-04-21 00:00:00,7207827487,True,Active,4469.21,False,False,False,1276.92,False
4856,MCH1086,Agrawal-Sule,,Apparel,Individual,Ludhiana,Punjab,2023-11-13 00:00:00,,False,Active,1355.59,False,False,True,1252.4299999999998,False
5327,MCH1087,"Mitter, Sawhney and Luthra",7011.0,Hotel,Partnership,Chennai,Tamil Nadu,2025-04-19 00:00:00,,False,Suspended,2381.71,False,True,False,1161.77,False
2378,MCH1089_1,"Mann, Edwin and Misra",5411.0,Grocery,Individual,Jaipur,Rajasthan,,7489263549,True,Active,678.0,False,False,False,1233.545,True
6161,MCH1089_2,RANDHAWA-BARAD,5942.0,Books & Stationery,Individual,Jalandhar,Punjab,2025-06-12 00:00:00,,False,Active,8714.78,False,False,False,1167.225,True
3485,MCH1093,"dubey, uppal and bhatt",5812.0,Restaurant,Private Limited,Pune,Maharashtra,2025-04-26 00:00:00,,False,Closed,4005.67,False,False,False,1327.31,False
3749,MCH1095,Mander Group,4814.0,Mobile Recharge,Partnership,Kolkata,West Bengal,2023-01-30 03:08:00,XXXX5510,True,Active,1277.94,False,False,False,1108.585,False
